art_style,painting,utterance
Realism,pyotr-konchalovsky_young-apple-tree-1947,"Ripe apples nestle in the branches of a tall, slender tree against a green-gold background."
Romanticism,ivan-aivazovsky_view-of-leandrovsk-tower-in-constantinople-1848,A man and children in a boat in the water around a lighthouse.
Impressionism,eugene-boudin_trouville-fish-market-1875,People with baskets are gathered in a stall-lined market place.
Expressionism,theophrastos-triantafyllidis_young-people-having-fun-at-galatsi-1935,"Several people sitting outside, one of them wearing scarlet red."
Expressionism,ernst-ludwig-kirchner_tavern,Men are gathered around a table in a restaurant preparing to partake in drinks.
Romanticism,gustave-dore_the-tomb-of-anastasius,"A woman an a man walking down a rocky mountain, there is some sort of smoke aroun them"
Baroque,adriaen-van-de-venne_moses-striking-the-rock,A dark scene with many people struggling to survive in what appears to be a war torn land. A number of people and animals are drinking water from a small stream.
Romanticism,ford-madox-brown_the-last-of-england-1855,"A couple looks off at a distance, worried kind of, concern more and on a boat probably cold. They have coats on and are well bundled up."
Baroque,jacob-jordaens_pan-punished-by-the-nymphs,A group of women are enjoying a day of inhibition in the woods.
Expressionism,egon-schiele_the-artist-s-sister-in-law-in-a-striped-dress-1917,"A seated woman with red hair, her hands clasped at her knees"
Baroque,frans-hals_banquet-of-the-officers-of-the-st-george-civic-guard-company-detail,"A brown canvas is in the background. The men are wearing traditional, old fashioned clothing and hats. Many are wearing orange sashes."
Northern_Renaissance,albrecht-durer_women-only,several naked woman standing and sitting; one is being poked in the arm by an old man.
Expressionism,georges-braque_basket-with-anemones-1924,Flowers in a shallow basket at the base of a brick wall.
High_Renaissance,leonardo-da-vinci_group-of-riders-in-the-battle-of-anghiari,many men on horseback running fast with some dust kicked up
Post_Impressionism,abraham-manievich_troika-in-the-snow-1910,A horse is pulling a sled through a village covered in snow.
Realism,gustave-courbet_henri-rochefort-1874,Old painting of Mexican male with goatee in a tuxedo poses for picture.
Realism,giovanni-boldini_self-portrait-1911,An older man with mustache is wearing a brown suit as he sat in the chair.
Impressionism,william-merritt-chase_the-park,A woman is seated on a bench by a standing child in a public park area.
Realism,james-tissot_tea-time,A woman with a puffy dress and a big hat serving tea.
Northern_Renaissance,jan-van-eyck_portrait-of-a-young-man-1432,A man in medieval clothing clutches a small scroll and stares into the distance.
Realism,vincent-van-gogh_orphan-man-with-top-hat-holding-cup-1882,"A man with spectacles, top hat, and suit reads from a small piece of paper."
Cubism,juan-gris_the-open-window-1921,"A window on the background with a bottle, a guitar and a paperwork close to it, outside the view of a lake"
Early_Renaissance,leonardo-da-vinci_virgin-of-the-rocks,Two women take their children to the waters edge and introduce them. Both the women and boys appear to be twins.
Romanticism,rudolf-von-alt_mountain-landscape-with-the-grundlsee,"A portrait of the view of the lake close to the mountains, there are also a couple of houses on the water."
Impressionism,claude-monet_water-lilies-1920,"Swirled ripples of green, olive, and black colored paints swim across the canvas"
Rococo,allan-ramsay_queen-charlotte-with-her-two-children,a woman is holding a little girl on her lap as another little girl stands beside her
Early_Renaissance,benozzo-gozzoli_tabernacle-of-the-visitation-annunciation-mary,A sad woman in a robe is visited by a white dove.
Post_Impressionism,maurice-utrillo_church-of-sacre-coeur,A few people are walking down a narrow street in between two buildings.
Symbolism,edward-burne-jones_the-escape-of-perseus-1888,"People are running outdoors in the nude, and one person is sitting on the ground to watch"
Impressionism,edgar-degas_racehorses-in-a-landscape-1894,Men dressed in formal riding garb riding horses on grass in the foothills.
Realism,aleksey-savrasov_volga,"Dried riverbed or sea bed, , with boats lining a hilly rise"
Romanticism,gustave-dore_pierrot-grin,A man wearing white makeup and a white clown costume is making a very exaggerated expression.
Fauvism,armand-guillaumin_echo-rock-1905,In this painting we can see the beautiful colors the autumn season brings.
Color_Field_Painting,friedel-dzubas_velot-1971,"The painting is of multiple lines and boxes of various colors that include white, orange, and blue."
Early_Renaissance,luca-signorelli_crucifixion-of-st-sepulchre,Jesus is crucified as his mourners take vigil beneath the cross.
Realism,ilya-repin_street-in-tiflis-1881,a narrow street filled with commercial store fronts is deserted
Impressionism,william-james-glackens_young-woman-in-green-1915,I see a woman who is feeling down about her life. The dark colors frame a dark time that she is dealing with.
Romanticism,paul-cezanne_promenade-1871,A woman wearing a black dress and closed umbrella stands next to a woman wearing a blue dress and open umbrella.
Impressionism,claude-monet_rocks-at-port-coton-the-lion-rock-1886,Small waves are crashing against brown rock formations.
Expressionism,pyotr-konchalovsky_portrait-of-pyotr-konchalovsky-the-son-of-the-artist-1921,a man in a blue blazers sits in a brown armchair reading a novel
Northern_Renaissance,jean-fouquet_back-in-england-isabella-of-france-1460,Soldiers are kneeling in front of several elegantly dressed women who are getting out of a small boat.
Impressionism,alfred-sisley_the-loing-at-moret-1886,A few houses sit by a lake and tall trees under a blue sky.
Realism,pyotr-konchalovsky_katya-with-grains-1933,A baby girl is sitting on a chair
Expressionism,chronis-botsoglou_nekyia,A man wearing slacks and a shirt holds a red flower.
Realism,vincent-van-gogh_sowers-1882,two men are planting seeds into a field with a house in the distance
Romanticism,eugene-delacroix_cat-head(1),A side view of a cat . It looks unfinished as all of the cat's body is not there and there is a lot of empty space on the painting.
Impressionism,jean-alexandru-steriadi_interior-de-po-t-dobrogean-1921,a rather plain office with wood floors and plaster walls
Symbolism,william-blake_illustration-to-milton-s-comus-1820-3,"A muscular man with a long white beard, wearing a crown and bending beside a man in a robe, with a short beard."
Impressionism,claude-monet_vetheuil-pink-effect,A village is located on the shore of a body of reflective water.
Realism,ilya-repin_n-wentzell-1879,A man who might be Napoleon stands with his hand inside of his shirt in the classic Napoleon pose.
Art_Nouveau_Modern,alphonse-mucha_byzantine-head-the-brunette-1897,"a woman in profile with long brown hair, wearing an elaborate jeweled headdress"
Northern_Renaissance,hans-memling_the-nativity-left-wing-of-a-triptych-of-the-adoration-of-the-magi-1472,"Painting of an angel, a lady in a green dress, a mother in white and navy blue. and a bigger lady in the back all looking down at a naked baby on the ground praying or praising over him. Also, looking at the baby is two horses."
Baroque,gerard-terborch_a-young-woman-playing-a-theorbo-to-two-men,Two men are at a dining table next to a seated woman playing a stringed instrument.
Naive_Art_Primitivism,marc-chagall_moses-with-the-burning-bush-1,"A drawing sketch of people on the left, some fire in the middle and a man on the right."
Post_Impressionism,paul-gauguin_willows-1889,I see a pastoral scene with a woman and a flock of sheep.
Art_Nouveau_Modern,sergey-solomko_reading,A girl wearing a crown sitting at her desk reading a book.
Abstract_Expressionism,mark-rothko_no-9,"In this unique painting, Blue blobs break up shades of red and orange and pink and white on the left."
High_Renaissance,michelangelo_study-for-haman,"Leonardo Da Vinci appearing sketches of a muscular man in movement, stretching, getting his exercise on, appreciated his physique."
Romanticism,caspar-david-friedrich_mountainous-river-landscape,Two people are in a boat in a river under the bright sun.
Minimalism,brice-marden_untitled-1973,Many small boxes create a large grid.  Some of the lines are not straight.
High_Renaissance,michelangelo_study-to-pieta,A group of six or seven people are carrying the dead body of Jesus.
Symbolism,jan-toorop_portrait-of-emma-bellwidt-on-the-beach-at-domburg-1905,A woman in a yellow dress sits in a chair reading by the riverside.
Art_Nouveau_Modern,mstislav-dobuzhinsky_winter-in-tsarskoye-selo-1904,"Several houses with trees lined up outside of them during the snowy, winter season."
Rococo,joseph-wright_cornet-sir-george-cooke,A man wears an elaborate blue and red uniform.
Romanticism,theodore-gericault_a-hitched-wagon,An old woman standing behind a pioneer's wagon.
Impressionism,pierre-auguste-renoir_the-large-bathers-1887,Three nude women enjoying their day next to the water.
Impressionism,claude-monet_rough-sea-at-etretat-1869,white ocean wave crests as a group of people stand along the waters edge
Naive_Art_Primitivism,marc-chagall_noah-s-ark-4,Many women are holding babies.  A bearded man holds his arm above an animal.
Naive_Art_Primitivism,natalia-goncharova_icon-painting-motifs,A woman touching the head of an infant in a manger and a man knelling beside Jesus.
Expressionism,george-bouzianis_self-portrait-2,"head of a man with a mustache, rendered in thick, loose lines"
Impressionism,john-henry-twachtman_spring-landscape-also-known-as-spring-in-marin-county,Some small bunches of trees sit behind a pond in a field. A wooded area lays just behind.
Post_Impressionism,paul-cezanne_leaving-on-the-water,Painting of what looks like scarecrows. Dressed in white. With pumpkin faces. Wearing some kind of white sheet on there heads.
Northern_Renaissance,hans-baldung_altar-of-st-john-the-baptist-1520,Jesus is being baptized by John the Baptist as angels and kings observe.
Pop_Art,claes-oldenburg_floor-cone-1962,A stuffed fabric ice cream cone with green ice cream is laying on its side.
Art_Nouveau_Modern,raphael-kirchner_nude-drawings-14,A vivacious young woman admires the mole she has on her bosom.
Impressionism,corneliu-michailescu_geraniums-1960,Outside sits lots of potted pants. Flowers have bloomed.
Synthetic_Cubism,juan-gris_guitar-bottle-and-glass-1914,A table with three glasses on left mixed with a grey collage of cups and square and triangles.
Post_Impressionism,karl-schrag_autumn-wind-and-stars-1988,Storm clouds are aggressively rolling in with very high winds.
Impressionism,philip-wilson-steer_the-beach-at-walberswick,A painting of tree girls looking at the sea on the water you can see some ships and the blue sky on the background.
Minimalism,david-batchelor_brick-lane-remix-i-2003,Four shelves side by side with various colored light boxes on
Post_Impressionism,stefan-luchian_artist-s-studio,A woman sits next to an easel and a table with a decorative tablecloth on it.
Post_Impressionism,david-burliuk_in-a-park,"Just outside a bright, older city in late afternoon with minimal color contrasts."
Impressionism,petre-abrudan_landscape-from-baia-mare-1937,Buildings and a tower viewed through a copse of trees
Cubism,albert-gleizes_portrait-de-jacques-nayral-1911,"A man sitting in a chair, painted in cool toned greens and greys."
Impressionism,william-merritt-chase_peace-fort-hamilton,Two large cannons abandoned in a field behind a group of houses.
Expressionism,martiros-saryan_evening-in-the-mountains-1932,A house surrounded by sparse trees stands at the bottom of towering hills.
Impressionism,ion-andreescu_flowering-field-1879,A worn path is cut through a field of wildflowers that sits under a cloud covered sky.
